Date,Open,High,Low,Close,Adj Close,Volume
2020-05-27,0.022851,0.022749,0.022841,0.022749,0.022749,1157936
2020-05-28,0.022752,0.023092,0.022544,0.023079,0.023079,1282048
2020-05-29,0.023087,0.023461,0.023198,0.023379,0.023379,1299466
2020-05-30,0.023383,0.025230,0.023304,0.024983,0.024983,1549150
2020-05-31,0.024984,0.025213,0.024377,0.024413,0.024413,1293186
2020-06-01,0.024401,0.024381,0.024368,0.024293,0.024293,1372220
2020-06-02,0.024277,0.024933,0.024567,0.024892,0.024892,1446211
2020-06-03,0.024911,0.025286,0.024859,0.025286,0.025286,1021233
2020-06-04,0.025278,0.025403,0.024824,0.024940,0.024940,1037730
2020-06-05,0.024932,0.025139,0.024884,0.024957,0.024957,961557
2020-06-06,0.024955,0.025233,0.024912,0.025061,0.025061,840599
2020-06-07,0.025059,0.025137,0.024925,0.025123,0.025123,978074
2020-06-08,0.025124,0.025246,0.024856,0.025207,0.025207,826566
2020-06-09,0.025193,0.025318,0.025057,0.025002,0.025002,862271
2020-06-10,0.024993,0.025118,0.024853,0.025070,0.025070,890872
2020-06-11,0.025081,0.025162,0.024820,0.024856,0.024856,1325554
2020-06-12,0.024848,0.025126,0.024731,0.025050,0.025050,935461
2020-06-13,0.025055,0.025238,0.025098,0.025214,0.025214,753711
2020-06-14,0.025220,0.025226,0.024896,0.024941,0.024941,792538
2020-06-15,0.024935,0.024668,0.024579,0.024329,0.024329,1114848
2020-06-16,0.024312,0.024750,0.024251,0.024577,0.024577,835147
2020-06-17,0.024585,0.024769,0.024553,0.024580,0.024580,812361
2020-06-18,0.024567,0.024794,0.024389,0.024661,0.024661,713336
2020-06-19,0.024645,0.024676,0.024356,0.024455,0.024455,747885
2020-06-20,0.024438,0.024742,0.024416,0.024568,0.024568,670017
2020-06-21,0.024561,0.024743,0.024550,0.024613,0.024613,601959
2020-06-22,0.024614,0.025263,0.024625,0.025136,0.025136,941015
2020-06-23,0.025137,0.025374,0.025113,0.025353,0.025353,687930
2020-06-24,0.025358,0.025739,0.025033,0.025315,0.025315,946468
2020-06-25,0.025307,0.025353,0.025266,0.025143,0.025143,756672
2020-06-26,0.025136,0.025131,0.025157,0.025065,0.025065,784411
